mode,event_id,event_label,kind,date,level_no,price,forward_return_5d_pct,forward_return_10d_pct,forward_return_20d_pct,eventual_fill,delay_bars,lower_price_reentry
guard_phase4,2020-02,2020 Covid Crash,delayed,2020-04-07,2,5.81,20.83,22.2,35.28,false,,false
guard_phase4,2020-02,2020 Covid Crash,blocked,2018-11-20,1,4.8,18.33,13.54,-14.17,true,24,true
guard_phase4,2020-02,2020 Covid Crash,blocked,2018-11-23,1,4.8,19.58,5.63,-28.33,true,22,true
guard_phase4,2020-02,2020 Covid Crash,blocked,2018-12-17,1,4.55,-24.4,-6.37,6.59,true,7,true
guard_phase4,2020-02,2020 Covid Crash,blocked,2020-04-03,2,4.82,33.2,52.07,54.77,false,,false
guard_phase4,2021-12,2022 Fed Bear,delayed,2022-02-17,1,41.66,-0.55,-7.87,1.85,true,4,true
guard_phase4,2021-12,2022 Fed Bear,delayed,2022-03-11,2,33.79,25.57,34.45,22.43,true,2,false
guard_phase4,2021-12,2022 Fed Bear,delayed,2022-05-13,3,25.24,-13.55,5.27,-27.02,true,1,true
guard_phase4,2021-12,2022 Fed Bear,blocked,2022-01-27,1,41.14,10.06,14.1,0.7,true,19,true
guard_phase4,2021-12,2022 Fed Bear,blocked,2022-02-18,1,40.25,4.02,-15.3,4.67,true,3,true
guard_phase4,2021-12,2022 Fed Bear,blocked,2022-03-07,2,34.09,-6.69,23.58,44.09,true,49,true
guard_phase4,2021-12,2022 Fed Bear,blocked,2022-03-14,2,31.81,32.44,49.32,20.81,true,44,true
guard_phase4,2021-12,2022 Fed Bear,blocked,2022-05-06,3,27.62,-8.62,-21,-5.97,true,6,true
guard_phase4,2025-01,2025 Tariff Shock,delayed,2025-04-09,1,49.14,-13.92,-0.92,12.33,true,1,true
guard_phase4,2025-01,2025 Tariff Shock,delayed,2025-04-16,2,42.3,15.11,25.34,55.84,true,1,true
guard_phase4,2025-01,2025 Tariff Shock,blocked,2025-04-03,1,46.97,-8.26,-10.22,18.16,true,5,true
